STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
KY,Kentucky,30031,30735,34177,37191,37103
IL,Illinois,36552,37020,40045,38827,37113
NE,Nebraska,35847,34500,36160,36691,37167
NC,North Carolina,28439,30488,36348,38406,37214
PA,Pennsylvania,43362,41699,41765,39988,37241
VT,Vermont,33345,35845,36994,37125,37347
MI,Michigan,37872,35446,36016,36628,37361
VT,Vermont,29406,32953,35974,36821,37363
AR,Arkansas,26067,28297,33948,36903,37373
NY,New York,36176,37152,38851,39370,37381
MN,Minnesota,30328,30729,33680,36576,37406
PA,Pennsylvania,38971,37182,37914,39238,37450
LA,Louisiana,39863,36689,39080,39566,37515
MD,Maryland,25604,30549,33812,37782,37526
AL,Alabama,36850,36478,37631,37765,37570
VA,Virginia,17825,20325,25627,33153,37596
SC,South Carolina,31242,33172,36108,37508,37719
IL,Illinois,43523,41561,41691,39437,37729
IL,Illinois,43201,40319,39018,39561,37804
IA,Iowa,36425,34795,37213,36842,37813
WI,Wisconsin,31216,31679,36776,35998,37845
IN,Indiana,40936,38413,40930,38966,37870
IN,Indiana,35501,34436,37629,38124,37936
AR,Arkansas,30147,31192,34233,36647,37938
MO,Missouri,28973,30236,35204,38634,38001
MO,Missouri,39647,39376,40422,39191,38059
OK,Oklahoma,32598,34119,35143,37492,38065
TX,Texas,33057,34371,37674,38106,38095
OH,Ohio,39987,39350,39500,39037,38286
SD,South Dakota,36962,35580,35460,36531,38301
PA,Pennsylvania,37876,40380,42238,43356,38434
OH,Ohio,42024,39024,40792,40087,38438
AL,Alabama,53981,48130,46365,43820,38462
IL,Illinois,33320,32653,35469,38664,38467
KS,Kansas,23825,33070,40523,36776,38470
AZ,Arizona,22862,26554,33489,37220,38533
PA,Pennsylvania,47449,45050,43863,41815,38587
SC,South Carolina,31776,34377,38264,38892,38604
VA,Virginia,21603,25053,29728,35270,38606
VA,Virginia,20107,30131,34780,36858,38711
OH,Ohio,33649,36019,38890,40097,38714
