,2019,2020,2021,2022
Wetzel,"583,659","842,772","866,692","977,745"
Wirt,"65,185","63,917","85,587","69,663"
Wood,"3,472,699","3,450,770","3,586,907","3,574,890"
Wyoming,"515,971","522,723","533,509","698,761"
,,,,
Wisconsin,"333,698,626","322,972,686","334,517,321","335,688,474"
Adams,"583,029","591,436","579,195","547,419"
Ashland,"737,554","692,172","683,558","675,210"
Barron,"2,089,337","2,056,469","2,121,638","2,147,689"
Bayfield,"448,755","412,724","428,814","409,605"
Brown,"18,848,688","18,424,106","18,818,089","19,107,490"
Buffalo,"479,924","512,576","522,590","577,602"
Burnett,"539,934","510,016","519,130","508,928"
Calumet,"1,577,919","1,548,223","1,652,809","1,666,786"
Chippewa,"2,808,512","2,717,679","2,778,068","2,751,784"
Clark,"1,418,414","1,331,886","1,316,078","1,327,738"
Columbia,"2,817,285","2,736,307","2,798,161","2,691,480"
Crawford,"720,147","704,432","708,286","700,788"
Dane,"44,841,506","43,885,527","46,349,618","47,231,963"
Dodge,"3,690,752","3,578,816","3,805,060","3,742,959"
Door,"1,330,895","1,292,635","1,381,162","1,357,875"
Douglas,"1,802,331","1,751,667","1,776,421","1,760,641"
Dunn,"1,837,240","1,840,862","1,893,180","1,850,541"
Eau Claire,"6,528,726","6,128,229","6,360,352","6,438,940"
Florence,"131,863","117,303","124,813","126,173"
Fond du Lac,"5,278,635","5,020,548","5,150,611","5,174,306"
Forest,"318,337","300,653","293,704","295,483"
Grant,"2,266,346","2,142,819","2,205,759","2,178,795"
Green,"1,845,636","1,719,104","1,823,659","1,883,570"
Green Lake,"642,434","612,414","639,076","639,205"
Iowa,"1,137,093","1,085,528","1,133,974","1,220,310"
Iron,"182,364","167,625","165,920","159,118"
Jackson,"863,448","812,754","823,643","816,595"
Jefferson,"3,513,027","3,391,449","3,614,415","3,646,527"
Juneau,"941,763","899,216","960,441","912,815"
Kenosha,"7,213,480","7,253,012","7,621,564","7,649,149"
Kewaunee,"860,863","751,484","755,112","716,327"
La Crosse,"7,683,297","7,355,354","7,550,759","7,532,653"
Lafayette,"584,035","584,261","595,052","605,187"
Langlade,"733,881","736,903","712,166","676,197"
Lincoln,"1,377,275","1,323,056","1,306,457","1,284,727"
Manitowoc,"3,989,046","3,866,977","3,941,880","3,902,479"
Marathon,"8,984,676","8,497,281","8,805,695","8,761,912"
Marinette,"1,986,765","1,896,893","1,913,521","1,941,221"
Marquette,"431,090","413,881","426,792","428,620"
Menominee,"160,583","146,945","165,899","172,532"
Milwaukee,"59,241,974","56,561,507","59,158,330","60,057,834"
Monroe,"2,316,665","2,239,107","2,294,228","2,288,756"
Oconto,"1,035,347","1,003,314","1,028,572","994,369"
Oneida,"1,726,896","1,732,701","1,746,665","1,718,155"
Outagamie,"13,005,495","12,390,226","12,655,894","12,528,296"
Ozaukee,"5,429,670","5,131,932","5,139,084","5,205,595"
Pepin,"258,279","272,382","289,857","280,283"
Pierce,"1,123,048","1,140,504","1,166,364","1,163,597"
Polk,"1,553,621","1,552,516","1,572,511","1,561,486"
Portage,"4,288,737","4,034,138","4,179,936","4,136,598"
Price,"611,563","570,980","561,192","555,952"
Racine,"8,287,192","8,326,223","8,430,514","8,389,160"
Richland,"745,812","671,209","674,119","703,671"
Rock,"7,509,709","7,466,909","7,687,625","7,784,497"
Rusk,"548,592","541,354","516,369","502,872"
St. Croix,"4,014,695","3,991,990","4,178,015","4,177,004"
Sauk,"3,988,091","3,723,209","4,038,703","3,962,726"
Sawyer,"701,015","677,658","681,507","675,252"
Shawano,"1,370,392","1,325,803","1,297,258","1,266,221"
Sheboygan,"6,985,730","6,835,019","6,975,399","6,777,935"
Taylor,"853,546","846,178","806,404","764,685"
Trempealeau,"1,345,854","1,269,353","1,355,583","1,362,055"
Vernon,"1,054,103","1,039,165","1,041,604","1,013,361"
Vilas,"925,816","890,247","871,457","854,104"
Walworth,"4,508,092","4,354,189","4,547,339","4,560,662"
Washburn,"608,228","576,582","590,411","572,215"
Washington,"6,834,090","6,356,202","6,674,148","6,599,490"
Waukesha,"30,939,346","30,331,247","31,663,716","31,804,701"
Waupaca,"1,989,442","1,901,991","1,925,343","1,907,624"
Waushara,"674,454","623,489","664,891","647,780"
Winnebago,"10,856,396","10,683,815","10,899,145","10,843,847"
Wood,"4,155,293","4,117,007","4,022,830","3,911,458"
,,,,
Wyoming,"38,558,220","36,181,338","36,929,508","37,294,164"
Albany,"1,507,601","1,528,034","1,559,662","1,615,817"
Big Horn,"513,832","484,441","478,601","473,264"
Campbell,"5,246,330","5,018,330","4,804,657","5,697,657"
Carbon,"1,366,784","1,129,149","1,279,940","1,197,069"
Converse,"1,750,724","1,490,663","1,268,444","1,334,272"
Crook,"298,747","317,596","312,442","310,992"
Fremont,"1,602,650","1,565,301","1,506,216","1,505,961"
Goshen,"481,795","455,749","465,742","439,435"
Hot Springs,"219,052","279,151","258,512","239,338"
Johnson,"386,603","395,441","397,026","388,127"
Laramie,"6,009,411","5,664,112","5,986,116","5,846,867"
Lincoln,"838,215","843,145","837,924","872,367"
Natrona,"5,678,124","5,070,249","5,001,565","4,988,595"
Niobrara,"117,197","133,203","115,485","100,291"
Park,"1,527,142","1,364,816","1,408,729","1,456,902"
Platte,"587,865","554,219","520,316","507,244"
Sheridan,"1,451,596","1,323,954","1,449,885","1,493,225"
Sublette,"1,126,582","1,056,402","936,322","798,463"
Sweetwater,"3,695,022","3,405,807","3,288,513","3,095,421"
Teton,"2,620,496","2,659,859","3,591,537","3,507,901"
Uinta,"882,964","783,682","800,735","813,461"
Washakie,"346,359","344,531","346,237","342,039"
Weston,"303,330","286,131","285,672","279,273"
(NA) Not available,,,,
"1. On January 2, 2019, two new county equivalents were created from the former Valdez-Cordova Census Area, Alaska (02261): Chugach Census Area (02063) and Copper River Census Area (02066).",,,,
"2. Virginia combination areas consist of one or two independent cities with populations of less than 100,000, combined with an adjacent county. The county name appears first, followed by the city name(s). Separate estimates for the jurisdictions making up the combination areas are not available.",,,,
U.S. Bureau of Economic Analysis,,,,
